id,date,matchweek,home_team_id,away_team_id,home_team_score,away_team_score,attendance,youtube_id
116,10/22/2023,9,2,19,4,1,"41,734",_P-fq99AC8M
117,10/29/2023,10,2,12,3,1,"41,785",V9cfVodBu64
118,11/5/2023,11,16,2,2,0,"29,313",X2vwRu3WJLs
119,11/12/2023,12,2,10,3,1,"41,608",v04YODMXgMI
120,11/26/2023,13,18,2,1,2,"61,679",SpQXTLn8f-I
121,12/3/2023,14,3,2,2,2,"11,191",gRbn98cHNcM
122,12/17/2023,17,4,2,1,2,"17,034",MLtHxST_ASk
123,12/22/2023,18,2,17,1,1,"41,651",fboDfcM_9oc
124,12/26/2023,19,14,2,3,2,"73,574",SvK9nJ2G478
125,12/30/2023,20,2,6,3,2,"41,613",5_S5i0jjxfQ
126,1/14/2024,21,9,2,0,0,"39,284",9itAPzNShb4
127,1/30/2024,22,2,15,1,3,"42,191",Gv8-0EnEb6E
128,2/3/2024,23,17,2,0,5,"30,187",0DCJWP-G0hU
129,2/11/2024,24,2,14,1,2,"42,185",ZdFGeHak7cI
130,2/17/2024,25,10,2,1,2,"24,401",YRW8ANP4-HA
131,2/24/2024,26,2,16,4,2,"42,131",BzYu5mbJdkc
132,3/2/2024,27,12,2,2,3,"11,594",bOxYyJykjig
133,3/10/2024,28,2,18,0,4,"42,310",-y3kwmbny-4
134,3/17/2024,29,19,2,1,1,"62,461",oN8HBzf-KkY
135,3/30/2024,30,2,20,2,0,"42,640",nhMqu1YYVzY
136,4/6/2024,32,2,4,3,3,"42,118",8bUxaGVSuJM
137,4/21/2024,34,2,3,3,1,"42,189",482d3a4F0Kg
138,4/27/2024,35,2,7,2,2,"42,354",sc2solRrEMg
139,5/5/2024,36,5,2,1,0,"31,596",uVXVNIcgiRI
140,5/19/2024,38,8,2,5,0,"25,191",LYJIE7moy9w
141,8/13/2023,1,4,18,2,2,"17,066",aKD-v8pq6FA
142,8/19/2023,2,18,14,2,0,"61,910",_829ucp7S_Y
143,8/26/2023,3,3,18,0,2,"10,567",rn2ZH5GYJ5U
144,9/2/2023,4,6,18,2,5,"21,750",Ku1D6KjbtIs
145,9/16/2023,5,18,17,2,1,"61,706",AN__Xxf__Ns
146,10/7/2023,8,12,18,0,1,"10,290",8peNjRWFdn8
147,10/23/2023,9,18,10,2,0,"61,286",89hJnI4lniM
148,10/27/2023,10,8,18,1,2,"25,074",vilYDREgjXE
149,11/6/2023,11,18,7,1,4,"61,726",YdzP7UPUoW8
150,11/11/2023,12,20,18,2,1,"31,642",4MSqLkrYgKw
151,12/7/2023,15,18,19,1,2,"61,171",sJ6zjc8_PDc
152,12/10/2023,16,18,15,4,1,"61,171",4OQrC33s5eY
153,12/15/2023,17,16,18,0,2,"29,296",27ODz-ZkMpw
154,12/23/2023,18,18,9,2,1,"61,808",is3__L6JBSc
155,12/28/2023,19,5,18,4,2,"31,675",amo_8A29wj0
156,12/31/2023,20,18,3,3,1,"61,780",ys83VTe7umQ
157,1/14/2024,21,14,18,2,2,"73,489",RKM7dkLehAg
158,1/31/2024,22,18,4,3,2,"61,210",12zvHd4KV0M
159,2/3/2024,23,9,18,2,2,"39,321",hxrwVRva1GI
160,2/10/2024,24,18,5,2,1,"61,445",J3F2wG5DPbM
161,2/17/2024,25,18,20,1,2,"61,532",zu2s3Y1UqS0
162,3/2/2024,27,18,8,3,1,"61,339",2obL4gtlHC0
163,3/16/2024,29,10,18,3,0,"24,410",1H-h1VLgnuM
164,3/30/2024,30,18,12,2,1,"61,534",xB_aeYPKcCY
165,4/2/2024,31,19,18,1,1,"62,469",2AkTGJ0mCfk
166,4/7/2024,32,18,16,3,1,"61,098",dQiuytIJgnM
167,4/13/2024,33,15,18,4,0,"52,147",_gql-R-oTf0
168,5/2/2024,26,7,18,2,0,"39,086",gqBbOeGCuBo
169,5/11/2024,37,18,6,2,1,"61,148",svyJdyzCj2U
170,5/19/2024,38,17,18,0,3,"29,116",wOTNxVvwGFY
171,8/20/2023,2,19,7,3,1,"62,451",SNq2bnmpWyk
172,8/25/2023,3,7,12,3,0,"39,893",HLLrA6Z4w6s
173,9/2/2023,4,7,16,0,1,"39,820",8v_rVb5YRZQ
174,9/17/2023,5,3,7,0,0,"10,421",FfG0XIEu75s
175,10/2/2023,7,10,7,0,2,"24,445",9xo3BAP7g7U
176,10/7/2023,8,6,7,1,4,"21,654",OU8udaZFZ3M
177,10/28/2023,10,7,4,0,2,"39,575",f5TCKVx3UrA
178,11/25/2023,13,15,7,4,1,"52,227",Y7lgiNgqAEA
179,12/3/2023,14,7,5,3,2,"39,647",DxPAS71l42M
180,12/6/2023,15,14,7,2,1,"73,607",1WK91DvMfHk
181,12/10/2023,16,9,7,2,0,"39,280",uJPGaBxq5PM
182,12/16/2023,17,7,17,2,0,"39,599",PawHRt4ZPss
183,12/24/2023,18,20,7,2,1,"31,641",p7_6Zoca3jE
184,12/27/2023,19,7,8,2,1,"39,618",w9N3hR_BlFk
185,12/30/2023,20,12,7,2,3,"11,041",TgMOM80T-IE
186,1/13/2024,21,7,10,1,0,"39,643",09YgUQ7lJ0c
187,2/4/2024,23,7,20,2,4,"39,628",9YLl9xDUpf0
188,2/12/2024,24,8,7,1,3,"25,110",AAU6JL1exBM
189,3/2/2024,27,4,7,2,2,"17,140",sqg8WX-SBDs
190,3/11/2024,28,7,15,3,2,"37,753",3sT_D-X1wo8
191,3/30/2024,30,7,6,2,2,"39,535",fyzdo0023w0
192,4/4/2024,31,7,14,4,3,"39,694",1XxOFv46FtY
193,4/7/2024,32,17,7,2,2,"28,638",09SHjiPwZB8
194,4/15/2024,33,7,9,6,0,"39,392",6v5hWHPIkrg
195,5/5/2024,36,7,19,5,0,"39,295",gDEJow1h2CY
196,5/11/2024,37,16,7,2,3,"29,708",cmpJUAWKUEo
197,5/15/2024,34,5,7,1,2,"31,555",zIGi_R8Cxzk
198,5/19/2024,38,7,3,2,1,"39,724",7d7TS7JI2oY
199,9/2/2023,4,5,15,3,1,"31,620",qJZmA2nDxFA
200,9/16/2023,5,15,4,1,0,"51,670",matwhFahR2Q
201,9/24/2023,6,17,15,0,8,"31,127",0tHbdaxcI1o
202,9/30/2023,7,15,6,2,0,"51,687",RGs1qK4onak
203,10/8/2023,8,19,15,2,2,"62,473",GJEM5q3S6-A
204,10/21/2023,9,15,8,4,0,"52,189",Wg6P7myDjmI
205,10/28/2023,10,20,15,2,2,"31,584",mgfqbgy1mWs
206,11/11/2023,12,3,15,2,0,"11,201",efqKt11cjoc
207,12/2/2023,14,15,14,1,0,"52,214",90eXAvLrCbk
208,12/7/2023,15,9,15,3,0,"38,198",-jEy0fVWTnM
209,12/16/2023,17,15,10,3,0,"52,055",GFTSnmZrzQQ
210,12/23/2023,18,12,15,1,0,"11,042",o3JiOrAhhkE
211,12/26/2023,19,15,16,1,3,"52,207",yKOW3kXN46Y
212,2/3/2024,23,15,12,4,4,"52,211",-y5oJJolYwc
213,2/10/2024,24,16,15,2,3,"29,451",J3F2wG5DPbM
214,2/17/2024,25,15,3,2,2,"52,224",y1LiPNYUSTs
215,3/2/2024,27,15,20,3,0,"52,206",7q5_XBR7ipk
216,3/30/2024,30,15,19,4,3,"52,199",uRJrXP-ceNs
217,4/2/2024,31,15,9,1,1,"52,135",LK8TJE61QEc
218,4/6/2024,32,10,15,0,1,"24,418",RB6wj5IfJ8k
219,4/24/2024,29,8,15,2,0,"25,002",rHAL7ko45Xc
220,4/27/2024,35,15,17,5,1,"52,196",1c5K_eliPbo
221,5/4/2024,36,6,15,1,4,"21,781",2rmI8-xh5Z0
222,5/11/2024,37,15,5,1,1,"51,997",gPbZM7VwCgg
223,5/15/2024,34,14,15,3,2,"73,582",3a_6WH1De0Q
224,5/19/2024,38,4,15,2,4,"17,124",YuKooDaN5gQ
225,8/14/2023,1,14,20,1,0,"73,358",UnVLzgtuSUw
226,8/26/2023,3,14,16,3,2,"73,595",M-AkqU95baA
227,9/16/2023,5,14,5,1,3,"73,592",yiyJlXhI9cM
228,9/23/2023,6,6,14,0,1,"21,593",jtL85r2bts4
229,9/30/2023,7,14,8,0,1,"73,428",RuE6AtvaBWo
230,10/7/2023,8,14,4,2,1,"73,453",sIodt4i5RfU
231,10/21/2023,9,17,14,1,2,"31,543",95FQuofkUDo
232,11/4/2023,11,10,14,0,1,"24,415",-vd8hAXOSsI
233,11/11/2023,12,14,12,1,0,"73,599",thkVdF3OmpE
234,11/26/2023,13,9,14,0,3,"39,257",ZI2YHkBe8bk
235,12/9/2023,16,14,3,0,3,"73,427",6Kf3mh8zNMU
236,12/23/2023,18,19,14,2,0,"64,472",Doi0NWvMs_s
237,12/30/2023,20,16,14,2,1,"29,529",shIFDz4amYQ
238,2/1/2024,22,20,14,3,4,"31,641",vaMRtwz8tP8&t=630s
239,2/4/2024,23,14,19,3,0,"73,612",PmlX79bG6Zo
240,2/18/2024,25,12,14,1,2,"11,483",Z1hnCxUAH7I
241,2/24/2024,26,14,10,1,2,"73,487",cCZ1jalRkzI
242,3/9/2024,28,14,9,2,0,"73,601",Z_zl6TAl6Uw
243,3/30/2024,30,4,14,1,1,"17,138",LX60zyBOQHk
244,4/13/2024,33,3,14,2,2,"11,229",3IVJFv8Cmf8
245,4/24/2024,29,14,17,4,2,"73,549",hVo49kvXglY
246,4/27/2024,35,14,6,1,1,"73,571",7w_Uhn_IkhQ
247,5/6/2024,36,8,14,4,0,"25,190",iYQYyrkrjCk
248,5/19/2024,38,5,14,0,2,"31,662",_Z8cHDO8oEg
249,8/12/2023,1,3,19,1,1,"11,245",Za2xT_UOmaE
250,8/26/2023,3,5,19,1,3,"31,508",LcroAfyNpgo
251,9/1/2023,4,12,19,1,2,"10,802",p5oafPzG1Gg
252,9/30/2023,7,19,17,2,0,"62,459",Lo2brGG5XTc
253,10/29/2023,10,19,9,0,1,"62,469",s_j1qp9ljDY
254,11/4/2023,11,4,19,3,2,"17,103",sGyHQ2QNdmM
255,11/12/2023,12,19,16,3,2,"62,470",Jgl9ng6fvmE
256,11/25/2023,13,6,19,1,2,"21,319",4lHODTmPkig
257,12/3/2023,14,19,8,1,1,"62,414",RJFsqd-HFBs
258,12/10/2023,16,10,19,5,0,"23,988",fwg0wlR1NF0
259,12/17/2023,17,19,20,3,0,"62,455",Yrt8VGNIbHo
260,1/2/2024,20,19,5,0,0,"62,462",R8FeaY7x_Vc
261,1/21/2024,21,17,19,2,2,"29,164",Az08AieqiJs
262,2/1/2024,22,19,3,1,1,"62,478",nWgtTii_cGk
263,2/17/2024,25,16,19,2,0,"29,490",7rVaaUmBnqc
264,2/26/2024,26,19,4,4,2,"62,450",RQItaT6NceY
265,3/2/2024,27,9,19,1,3,"39,262",x5U8etXLIic
266,3/10/2024,28,19,6,2,2,"62,441",Bl7KMdmFfm8
267,4/6/2024,32,20,19,1,2,"31,504",RDNmAzC6dM0
268,4/14/2024,33,19,10,0,2,"62,459",Tpy89XOR3Cc
269,4/21/2024,34,8,19,5,2,"25,145",_EVJey-0D48
270,5/11/2024,37,19,12,3,1,"62,475",nfsoKO88Qjo
271,8/12/2023,1,17,8,0,1,"31,194",yLIMgXv7uqA
272,8/26/2023,3,4,8,1,1,"16,997",L1qJkq718rU
273,9/3/2023,4,8,20,3,2,"24,741",IcIr7quQVCs
274,9/23/2023,6,8,10,0,0,"25,072",CPGO0i4pgU0
275,10/7/2023,8,8,16,0,0,"25,017",xVrCw_gOmR4
276,11/4/2023,11,6,8,0,2,"21,578",24TExPIwWtw
277,11/11/2023,12,8,9,2,3,"25,103",tI_68ym7-mU
