id,player_name,team_id,age,position,nationality,height,weight,jersey_number
363,Mario Lemina,20,30,Midfielder,Gabon,184,85,5
364,Matthew Whittingham,20,19,Midfielder,England,0,0,65
365,Owen Hesketh,20,21,Midfielder,Wales,0,0,79
366,Pablo Sarabia,20,31,Midfielder,Spain,174,70,21
367,Tawanda Chirewa,20,20,Midfielder,England,0,0,62
368,Tommy Doyle,20,22,Midfielder,England,172,73,20
369,Emilio Ballard-Matthews,20,16,Forward,England,0,0,78
370,Enso Gonzalez,20,18,Forward,Paraguay,169,69,30
371,Hwang Hee-chan,20,27,Forward,"Korea, South",177,77,11
372,Matheus Cunha,20,24,Forward,Brazil,183,76,12
373,Nathan Fraser,20,18,Forward,Ireland,188,82,63
374,Pedro Neto,20,23,Forward,Portugal,172,62,7
375,Sasa Kalajdzic,20,26,Forward,Austria,200,90,18
376,Ty Barnett,20,18,Forward,England,0,0,45
377,Andrei Radu,3,26,Goalkeeper,Romania,188,70,20
378,Cameron Plain,3,22,Goalkeeper,England,0,0,45
379,Darren Randolph,3,36,Goalkeeper,Ireland,188,98,12
380,Mark Travers,3,24,Goalkeeper,Ireland,191,82,42
381,Neto,3,34,Goalkeeper,Brazil,190,84,1
382,Adam Smith,3,32,Defender,England,180,78,15
383,Ben Greenwood,3,20,Defender,Ireland,170,70,43
384,Chris Mepham,3,26,Defender,Wales,193,88,6
385,Illia Zabarnyi,3,21,Defender,Ukraine,189,80,27
386,Lloyd Kelly,3,25,Defender,England,178,70,5
387,Marcos Senesi,3,26,Defender,Argentina,185,80,25
388,Max Aarons,3,24,Defender,England,178,69,37
389,Milos Kerkez,3,20,Defender,Hungary,180,71,3
390,Ryan Fredericks,3,31,Defender,England,181,74,2
391,Alex Scott,3,20,Midfielder,England,178,0,14
392,David Brooks,3,26,Midfielder,Wales,173,62,7
393,Emiliano Marcondes,3,28,Midfielder,Denmark,182,75,13
394,Gavin Kilkenny,3,23,Midfielder,Ireland,170,75,26
395,Hamed Traore,3,23,Midfielder,Côte d'Ivoire,184,77,22
396,Joe Rothwell,3,28,Midfielder,England,185,77,8
397,Lewis Cook,3,26,Midfielder,England,175,71,4
398,Marcus Tavernier,3,24,Midfielder,England,178,70,16
399,Philip Billing,3,27,Midfielder,Denmark,193,83,29
400,Ryan Christie,3,28,Midfielder,Scotland,178,79,10
401,Tyler Adams,3,24,Midfielder,United States of America,173,72,18
402,Antoine Semenyo,3,23,Forward,Ghana,185,79,24
403,Dango Ouattara,3,21,Forward,Burkina Faso,177,71,11
404,Dominic Solanke,3,26,Forward,England,187,80,9
405,Justin Kluivert,3,24,Forward,Netherlands,171,67,19
406,Kieffer Moore,3,31,Forward,Wales,196,89,21
407,Luis Sinisterra,3,24,Forward,Colombia,172,60,17
408,Bernd Leno,10,31,Goalkeeper,Germany,189,82,17
409,Marek Rodak,10,27,Goalkeeper,Slovakia,194,81,1
410,Steven Benda,10,25,Goalkeeper,Germany,192,83,0
411,Antonee Robinson,10,26,Defender,United States of America,183,70,33
412,Calvin Bassey,10,24,Defender,Nigeria,185,76,0
413,Devan Tanton,10,20,Defender,Colombia,175,0,0
414,Fode Ballo-Toure,10,27,Defender,Senegal,182,70,12
415,Issa Diop,10,26,Defender,France,194,92,31
416,Kenny Tete,10,28,Defender,Netherlands,180,71,2
417,Luc De Fougerolles,10,18,Defender,Canada,0,0,0
418,Tim Ream,10,36,Defender,United States of America,183,80,13
419,Timothy Castagne,10,28,Defender,Belgium,185,80,21
420,Tosin Adarabioyo,10,26,Defender,England,196,80,4
421,Andreas Pereira,10,28,Midfielder,Brazil,178,71,18
422,Harrison Reed,10,28,Midfielder,England,181,72,6
423,Harry Wilson,10,26,Midfielder,Wales,173,63,8
424,Joao Palhinha,10,28,Midfielder,Portugal,190,84,26
425,Luke Harris,10,18,Midfielder,Wales,177,0,0
426,Matthew Dibley-Dias,10,20,Midfielder,New Zealand,183,0,0
427,Sasa Lukic,10,27,Midfielder,Serbia,183,76,28
428,Thomas Cairney,10,32,Midfielder,Scotland,185,84,10
429,Tyrese Francois,10,23,Midfielder,Australia,173,60,0
430,Adama Traore,10,27,Forward,Spain,178,86,11
431,Alex Iwobi,10,27,Forward,Nigeria,180,75,22
432,Bobby Decordova-Reid,10,30,Forward,Jamaica,170,68,14
433,Carlos Vinicius,10,28,Forward,Brazil,190,86,30
434,Raul Jimenez,10,32,Forward,Mexico,190,76,7
435,Rodrigo Muniz,10,22,Forward,Brazil,178,67,19
436,Willian,10,35,Forward,Brazil,175,77,20
437,Dean Henderson,8,26,Goalkeeper,England,188,85,30
438,Joe Whitworth,8,19,Goalkeeper,England,179,0,41
439,Remi Matthews,8,29,Goalkeeper,England,184,78,31
440,Sam Johnstone,8,30,Goalkeeper,England,193,85,1
441,Chris Richards,8,23,Defender,United States of America,188,87,26
442,James Tomkins,8,34,Defender,England,192,74,5
443,Joachim Andersen,8,27,Defender,Denmark,192,90,16
444,Joel Ward,8,34,Defender,England,188,83,2
445,Marc Guehi,8,23,Defender,England,182,82,6
446,Nathan Ferguson,8,23,Defender,England,178,74,36
447,Nathaniel Clyne,8,32,Defender,England,175,67,17
448,Rob Holding,8,28,Defender,England,189,81,4
449,Sean Grehan,8,19,Defender,Ireland,0,0,42
450,Tayo Adaramola,8,20,Defender,Ireland,0,0,38
451,Tyrick Mitchell,8,24,Defender,England,175,68,3
452,Cheick Doucoure,8,23,Midfielder,Mali,180,73,28
453,David Ozoh,8,18,Midfielder,England,0,0,52
454,Eberechi Eze,8,25,Midfielder,England,178,74,10
455,Jack Wells-Morrison,8,19,Midfielder,England,180,0,40
456,Jadan Raymond,8,20,Midfielder,Wales,0,0,60
457,Jairo Riedewald,8,27,Midfielder,Netherlands,182,79,44
458,Jefferson Lerma,8,29,Midfielder,Colombia,179,70,8
459,Jeffrey Schlupp,8,31,Midfielder,Ghana,178,72,15
460,Jesurun Rak-Sakyi,8,21,Midfielder,England,178,0,49
461,Michael Olise,8,22,Midfielder,France,184,76,7
462,Naouirou Ahamada,8,21,Midfielder,France,183,73,29
463,Will Hughes,8,28,Midfielder,England,185,74,19
464,Ademola Ola-Adebomi,8,20,Forward,England,0,0,53
465,Jean Mateta,8,26,Forward,France,192,88,14
466,Jordan Ayew,8,32,Forward,Ghana,182,80,9
467,Malcolm Ebiowei,8,20,Forward,England,185,0,23
468,Matheus Franca,8,19,Forward,Brazil,178,67,11
469,Odsonne Edouard,8,25,Forward,France,187,83,22
470,Ethan Horvath,16,28,Goalkeeper,United States of America,191,84,34
471,George Shelvey,16,22,Goalkeeper,England,188,83,0
472,John Lukic,16,37,Goalkeeper,England,188,80,0
473,Matt Turner,16,29,Goalkeeper,United States of America,191,84,1
474,Odisseas Vlachodimos,16,29,Goalkeeper,Greece,188,78,23
475,Wayne Hennessey,16,36,Goalkeeper,Wales,198,90,13
476,Andrew Omobamidele,16,21,Defender,Ireland,188,0,32
477,Felipe,16,34,Defender,Brazil,190,83,18
478,Gonzalo Montiel,16,27,Defender,Argentina,175,68,29
479,Harry Toffolo,16,28,Defender,England,183,71,15
480,Joe Worrall,16,26,Defender,England,193,64,4
481,Moussa Niakhate,16,27,Defender,Senegal,190,82,19
482,Murillo,16,21,Defender,Brazil,180,75,40
483,Neco Williams,16,22,Defender,Wales,183,72,7
484,Nuno Tavares,16,23,Defender,Portugal,183,75,3
485,Ola Aina,16,27,Defender,Nigeria,184,82,43
486,Richie Laryea,16,28,Defender,Canada,175,68,0
487,Scott McKenna,16,27,Defender,Scotland,189,74,26
488,Serge Aurier,16,31,Defender,Côte d'Ivoire,176,76,24
